Transaction_Date,Drug_Name,Category,Quantity_Sold,Stock_On_Hand,Expiry_Date,Unit_Cost,Supplier
2025-10-31,Syrup Adrenaline 5ml/250mg,Specialty/Emergency,24,149,2027-07-14,934,Emzor
2023-06-08,Face Mask (5ml),Surgicals,44,187,2027-01-24,213,Fidson
2026-01-23,Inf Quinine 20mg,Anti-Malaria,7,117,2027-04-27,841,Juhel
2023-03-31,Gutt Diclofenac 5ml/250mg,Analgesics,43,134,2027-01-24,805,Swiss Pharma
2023-10-24,Oin Silver Sulphadiazine 2g,Drops/Topicals,25,177,2027-07-20,668,Juhel
2024-03-26,Gutt Oxytocin 1%,Specialty/Emergency,19,135,2027-09-02,449,Juhel
2025-12-28,Inf Gentamicin 1%,Antibiotics,9,197,2028-10-15,890,MegaCare
2023-05-01,Inf Silver Sulphadiazine 100mg,Drops/Topicals,21,134,2028-07-12,689,MegaCare
2025-11-09,Tab Ringers Lactate 250mg,IV Fluids,40,167,2028-08-07,150,Fidson
2024-04-08,Susp Atropine 5ml/125mg,Specialty/Emergency,25,191,2028-09-28,623,Swiss Pharma
2025-03-25,Syrup Dextrose 5% 5ml/125mg,IV Fluids,1,130,2027-05-21,102,Fidson
2026-01-11,Urinalysis Strip (Size 7.5),Lab/Reagents,32,167,2028-09-06,817,Fidson
2023-04-05,Surgical Gloves (Roll),Surgicals,9,146,2026-09-20,862,Emzor
2025-03-05,Susp Paracetamol 250mg,Analgesics,22,160,2026-10-23,435,Juhel
2023-09-22,Face Mask (Pack of 50),Surgicals,7,164,2027-04-11,208,MegaCare
2023-01-02,Oin Omeprazole 10mg,Anti-Ulcer,30,199,2027-11-29,228,GSK
2023-09-11,Susp Insulin (Mixed) 10mg,Anti-Diabetic,39,155,2026-08-09,333,Emzor
2025-05-15,Tab Adrenaline 0.5%,Specialty/Emergency,16,176,2028-12-24,943,Fidson
2025-10-26,Gutt Atropine 20mg,Specialty/Emergency,49,135,2027-12-16,642,GSK
2023-04-27,Malaria RDT (2ml),Lab/Reagents,49,166,2028-01-22,509,MegaCare
2025-04-21,Ear Drops Cimetidine 5ml/125mg,Anti-Ulcer,16,121,2027-05-27,374,Juhel
2026-01-29,Oin Normal Saline 10mg,IV Fluids,16,137,2027-12-11,531,GSK
2025-08-04,Surgical Gloves (5ml),Surgicals,11,198,2027-11-13,587,Fidson
2023-09-17,Inf Morphine 0.5%,Analgesics,25,146,2029-01-02,144,MegaCare
2025-04-17,IV Cannula (Size 7.0),Surgicals,44,180,2025-05-05,575,MegaCare
2023-11-05,Susp Artemether/Lumefantrine 500mg,Anti-Malaria,2,129,2027-04-03,511,Swiss Pharma
2025-06-16,Oin Amlodipine 100mg,Anti-Hypertensive,11,153,2027-04-02,420,GSK
2026-03-12,Syrup Hydrocortisone 250mg,Drops/Topicals,8,118,2027-10-10,433,GSK
2024-08-31,Inj Insulin (Soluble) 100mg,Anti-Diabetic,39,162,2027-12-22,552,Emzor
2025-01-01,Cap Morphine 1g,Analgesics,28,15,2027-07-21,604,MegaCare
2025-07-25,Cap Insulin (Soluble) 0.5%,Anti-Diabetic,16,177,2027-07-18,669,GSK
2025-07-29,Ear Drops Lisinopril 2g,Anti-Hypertensive,12,182,2025-05-06,147,MegaCare
2024-09-03,Ear Drops Hydralazine 500mg,Anti-Hypertensive,22,184,2026-05-11,360,Swiss Pharma
2025-05-29,Syrup Glibenclamide 2g,Anti-Diabetic,47,131,2028-01-10,328,GSK
2023-06-07,Inf Artesunate 1%,Anti-Malaria,20,174,2028-06-01,263,Juhel
2023-09-02,Susp Morphine 5ml/250mg,Analgesics,50,146,2028-07-08,711,Fidson
2024-08-05,Susp Sulfadoxine/Pyrimethamine 20mg,Anti-Malaria,2,165,2027-05-26,734,Fidson
2024-04-26,Inj Ketamine 100mg,Specialty/Emergency,30,152,2028-03-12,148,Swiss Pharma
2026-01-22,Inj Losartan 20mg,Anti-Hypertensive,39,190,2027-08-20,951,Emzor
2024-12-06,Hepatitis B Strip (Pack of 50),Lab/Reagents,8,138,2027-11-09,874,Emzor
2023-11-21,Tab Ceftriaxone 1%,Antibiotics,23,170,2027-07-27,873,GSK
2023-12-13,Cotton Wool (5ml),Surgicals,22,117,2027-04-24,358,Juhel
2025-05-12,Inj Diclofenac 5ml/250mg,Analgesics,3,137,2027-09-15,342,Emzor
2024-04-22,Cap Metformin 500mg,Anti-Diabetic,19,167,2027-08-09,793,Swiss Pharma
2023-06-22,Tab Ciprofloxacin 1g,Antibiotics,8,145,2027-05-29,428,Juhel
2024-08-14,Cap Losartan 0.5%,Anti-Hypertensive,33,127,2028-09-22,320,GSK
2025-11-11,Inh Cimetidine 2g,Anti-Ulcer,26,6,2028-12-03,119,Emzor
2025-08-21,Susp Adrenaline 500mg,Specialty/Emergency,45,109,2027-10-15,485,GSK
2024-09-28,Inh Metronidazole Infusion 2g,IV Fluids,39,188,2028-05-07,126,GSK
2024-04-10,Oin Ibuprofen 1%,Analgesics,49,194,2026-12-25,387,Emzor
2026-01-31,Tab Pentazocine 50mg,Analgesics,8,164,2027-04-28,793,Emzor
2023-07-13,Gutt Lisinopril 100mg,Anti-Hypertensive,20,117,2028-07-07,370,Juhel
2024-10-01,Susp Pentazocine 0.5%,Analgesics,23,119,2027-10-27,309,Swiss Pharma
2025-06-27,Inj Magnesium Trisilicate 0.5%,Anti-Ulcer,32,113,2028-03-08,666,GSK
2025-11-04,Susp Chloramphenicol 0.5%,Drops/Topicals,22,148,2027-12-23,325,Emzor
2023-06-09,Oin Ranitidine 20mg,Anti-Ulcer,7,195,2027-06-18,180,MegaCare
2025-05-07,Inj Amlodipine 250mg,Anti-Hypertensive,33,107,2026-05-18,227,MegaCare
2023-12-14,Oin Ceftriaxone 100mg,Antibiotics,10,126,2027-08-07,527,Juhel
2024-11-17,Inf Methyldopa 20mg,Anti-Hypertensive,18,139,2027-11-04,313,MegaCare
2025-01-21,Ear Drops Diazepam 2g,Specialty/Emergency,31,152,2028-04-21,394,Juhel
2023-01-15,Syrup Ciprofloxacin 20mg,Antibiotics,13,136,2027-02-01,841,MegaCare
2026-03-19,Inj Glimepiride 5ml/250mg,Anti-Diabetic,11,154,2026-12-19,373,Juhel
2023-12-15,Tab Clindamycin 500mg,Antibiotics,15,172,2027-11-21,747,Juhel
2024-01-23,Cap Diclofenac 1g,Analgesics,50,181,2026-11-27,295,Emzor
2023-07-30,Inh Silver Sulphadiazine 50mg,Drops/Topicals,45,166,2027-04-12,601,Juhel
2025-12-07,Inf Lisinopril 1%,Anti-Hypertensive,3,161,2027-03-03,163,Juhel
2025-04-12,Syrup Gentamicin 20mg,Drops/Topicals,42,175,2027-03-20,248,MegaCare
2023-04-26,Susp Metronidazole 1%,Antibiotics,39,121,2028-10-20,142,Emzor
2024-06-22,Inf Azithromycin 5ml/250mg,Antibiotics,14,110,2027-01-21,648,Swiss Pharma
2026-03-26,Cap Ciprofloxacin 5ml/125mg,Antibiotics,47,162,2028-03-11,354,MegaCare
2023-10-15,Ear Drops Azithromycin 500mg,Antibiotics,37,105,2027-02-06,117,Swiss Pharma
2024-07-27,Tab Adrenaline 20mg,Specialty/Emergency,2,123,2027-02-22,309,MegaCare
2025-06-08,Cap Ringers Lactate 10mg,IV Fluids,21,118,2029-01-03,977,Juhel
2024-04-12,Ear Drops Quinine 250mg,Anti-Malaria,20,190,2028-12-21,383,MegaCare
2023-09-25,Inf Insulin (Mixed) 250mg,Anti-Diabetic,22,8,2028-05-25,364,Juhel
2025-06-21,Oin Adrenaline 1%,Specialty/Emergency,34,174,2026-04-30,833,Emzor
2024-12-14,Syrup Azithromycin 2g,Antibiotics,29,127,2025-10-31,672,Swiss Pharma
2024-11-20,Inh Oxytocin 5ml/250mg,Specialty/Emergency,9,136,2028-06-01,921,Fidson
2024-10-20,Malaria RDT (Size 7.5),Lab/Reagents,44,169,2028-08-23,523,MegaCare
2024-01-30,Giving Set (Roll),Surgicals,29,144,2026-12-21,570,Swiss Pharma
2024-03-13,Surgical Gloves (Size 7.5),Surgicals,9,111,2028-01-22,431,Swiss Pharma
2023-12-25,Giving Set (Size 7.5),Surgicals,1,188,2028-04-16,394,Juhel
2025-06-15,Inf Adrenaline 5mg,Specialty/Emergency,17,121,2027-11-27,603,Fidson
2024-04-19,Gutt Nifedipine 250mg,Anti-Hypertensive,34,143,2026-11-17,141,Juhel
2025-07-01,Ear Drops Ciprofloxacin 250mg,Antibiotics,41,194,2027-02-22,835,Juhel
2023-07-29,Inf Ketamine 0.5%,Specialty/Emergency,21,197,2025-08-08,921,GSK
2026-03-25,Susp Magnesium Trisilicate 1%,Anti-Ulcer,12,115,2027-07-05,598,Juhel
2025-06-26,Oin Ketamine 5ml/125mg,Specialty/Emergency,46,165,2026-12-25,628,GSK
2025-01-20,Oin Atropine 5ml/250mg,Specialty/Emergency,50,122,2027-06-12,913,GSK
2025-11-21,Cap Ketamine 500mg,Specialty/Emergency,22,144,2026-07-10,448,Swiss Pharma
2024-07-27,Ear Drops Insulin (Mixed) 1%,Anti-Diabetic,29,181,2026-07-13,505,Fidson
2023-11-30,Cap Ringers Lactate 100mg,IV Fluids,30,128,2027-02-03,777,Emzor
2023-05-01,Susp Artesunate 5ml/250mg,Anti-Malaria,13,34,2027-03-18,183,GSK
2024-04-11,Ear Drops Esomeprazole 20mg,Anti-Ulcer,29,108,2027-11-02,806,Juhel
2023-10-13,Inh Atropine 250mg,Specialty/Emergency,23,176,2027-09-05,136,Swiss Pharma
2024-02-02,Cap Morphine 20mg,Analgesics,14,184,2028-03-20,667,Emzor
2023-09-14,Oin Propofol 0.5%,Specialty/Emergency,47,186,2026-12-01,115,GSK
2023-04-25,Susp Insulin (Mixed) 5ml/125mg,Anti-Diabetic,20,136,2028-07-14,383,MegaCare
2023-09-17,Syrup Magnesium Trisilicate 1g,Anti-Ulcer,43,192,2028-05-19,306,Juhel
2025-07-17,Gutt Azithromycin 100mg,Antibiotics,4,177,2028-11-24,995,Juhel
2023-02-04,Tab Paracetamol 5ml/250mg,Analgesics,10,120,2026-06-25,834,Fidson
2025-10-24,Oin Ranitidine 5ml/250mg,Anti-Ulcer,21,113,2026-12-28,429,Fidson
2025-10-10,Ear Drops Ranitidine 5ml/250mg,Anti-Ulcer,9,197,2027-03-27,568,Swiss Pharma
2023-06-15,Oin Dextrose Saline 20mg,IV Fluids,43,116,2028-04-06,858,MegaCare
2025-11-30,HIV Kit (Roll),Lab/Reagents,34,140,2027-12-21,569,Fidson
2025-09-11,Cap Magnesium Trisilicate 2g,Anti-Ulcer,32,139,2028-06-01,572,GSK
2025-08-29,Inh Ketamine 5ml/250mg,Specialty/Emergency,29,120,2027-05-16,399,MegaCare
2024-09-24,Inf Ceftriaxone 1g,Antibiotics,37,160,2026-11-23,966,Fidson
2024-04-26,Oin Quinine 100mg,Anti-Malaria,22,163,2028-04-23,320,Swiss Pharma
2024-12-16,Ear Drops Artesunate 5mg,Anti-Malaria,50,41,2027-11-14,319,MegaCare
2023-10-26,Syrup Glimepiride 20mg,Anti-Diabetic,43,150,2027-08-31,544,GSK
2025-02-01,Inj Dextrose Saline 5mg,IV Fluids,48,105,2028-11-21,672,MegaCare
2023-11-21,Susp Ranitidine 10mg,Anti-Ulcer,24,163,2025-11-26,840,Juhel
2023-09-08,Face Mask (Size 7.0),Surgicals,5,5,2026-09-21,612,Emzor
2025-09-22,Susp Artesunate 10mg,Anti-Malaria,36,117,2028-04-24,153,Fidson
2024-01-16,Tab Artesunate 5ml/125mg,Anti-Malaria,11,100,2027-11-21,485,Swiss Pharma
2023-06-18,HIV Kit (Size 7.5),Lab/Reagents,41,177,2028-06-16,354,MegaCare
2026-01-02,Syrup Clindamycin 250mg,Antibiotics,14,1,2026-10-10,715,Emzor
2025-10-28,Susp Ranitidine 20mg,Anti-Ulcer,39,123,2028-02-19,745,GSK
2024-06-18,Tab Ciprofloxacin 10mg,Drops/Topicals,14,153,2028-06-04,790,Swiss Pharma
2025-04-25,Giving Set (Pack of 50),Surgicals,3,160,2028-02-10,165,Fidson
2025-08-02,Ear Drops Propofol 10mg,Specialty/Emergency,3,186,2025-10-05,860,Fidson
2023-09-22,Oin Dextrose 5% 10mg,IV Fluids,33,195,2027-04-21,821,Emzor
2023-12-16,Ear Drops Quinine 5ml/125mg,Anti-Malaria,41,19,2027-04-23,399,Fidson
2025-10-02,Cap Insulin (Soluble) 500mg,Anti-Diabetic,39,191,2027-11-03,545,Fidson
2023-04-10,Syrup Insulin (Soluble) 100mg,Anti-Diabetic,8,23,2027-06-11,569,Swiss Pharma
2024-07-14,Oin Glibenclamide 1g,Anti-Diabetic,1,128,2027-05-05,243,GSK
2025-01-10,Syrup Glibenclamide 1%,Anti-Diabetic,9,142,2028-11-08,766,Emzor
2024-11-26,Cap Chloramphenicol 2g,Drops/Topicals,6,175,2028-04-15,280,Emzor
2024-05-27,Gutt Dextrose Saline 500mg,IV Fluids,14,117,2028-03-19,216,MegaCare
2024-06-06,Cap Dextrose 5% 5ml/125mg,IV Fluids,39,117,2027-08-17,483,GSK
2023-11-16,Syrup Quinine 5mg,Anti-Malaria,4,118,2027-08-11,937,Swiss Pharma
2023-11-19,Inf Atropine 5ml/250mg,Specialty/Emergency,33,122,2028-02-28,399,Swiss Pharma
2025-01-28,Tab Esomeprazole 500mg,Anti-Ulcer,27,150,2026-04-05,749,Swiss Pharma
2024-11-21,Tab Dextrose Saline 5ml/125mg,IV Fluids,42,140,2027-01-20,179,Fidson
2023-02-08,Gutt Omeprazole 500mg,Anti-Ulcer,22,161,2027-11-17,412,Juhel
2024-08-22,Hepatitis B Strip (2ml),Lab/Reagents,3,154,2025-12-01,733,Swiss Pharma
2024-08-05,Hepatitis B Strip (Size 7.0),Lab/Reagents,15,128,2027-09-15,611,MegaCare
2024-05-28,Gutt Cimetidine 250mg,Anti-Ulcer,50,106,2028-02-23,320,Fidson
2024-11-18,Inf Cimetidine 100mg,Anti-Ulcer,42,136,2028-04-30,455,GSK
2024-03-31,Cap Esomeprazole 250mg,Anti-Ulcer,42,170,2028-08-30,664,Emzor
2023-03-08,Tab Chloramphenicol 250mg,Drops/Topicals,25,134,2027-01-14,259,Swiss Pharma
2023-04-10,Cap Ranitidine 5ml/125mg,Anti-Ulcer,46,172,2027-01-08,773,Fidson
2025-10-20,Inf Ibuprofen 1%,Analgesics,9,153,2026-10-17,361,Emzor
2024-04-04,Inf Dextrose Saline 20mg,IV Fluids,43,197,2026-12-17,387,Juhel
2025-10-29,Syrup Dextrose Saline 250mg,IV Fluids,41,151,2027-05-25,587,Fidson
2024-03-27,Inh Ceftriaxone 250mg,Antibiotics,18,113,2027-07-03,105,MegaCare
2025-04-13,Inh Ibuprofen 2g,Analgesics,34,174,2028-05-18,814,Emzor
2023-07-11,Gutt Sulfadoxine/Pyrimethamine 500mg,Anti-Malaria,14,171,2027-10-12,844,Emzor
2025-12-25,Urinalysis Strip (2ml),Lab/Reagents,39,166,2028-04-30,311,GSK
2024-02-15,Oin Hydrocortisone 10mg,Drops/Topicals,19,157,2028-12-12,561,Fidson
2024-07-07,Inj Diazepam 2g,Specialty/Emergency,34,125,2027-05-02,900,Emzor
2025-04-02,Cap Losartan 250mg,Anti-Hypertensive,32,161,2026-04-17,928,Juhel
2023-10-12,Susp Insulin (Mixed) 100mg,Anti-Diabetic,5,145,2027-07-12,994,Emzor
2023-03-11,Ear Drops Magnesium Trisilicate 500mg,Anti-Ulcer,18,37,2028-01-22,607,GSK
2024-05-04,Susp Esomeprazole 0.5%,Anti-Ulcer,28,161,2027-10-30,412,Emzor
2023-12-31,Cotton Wool (Size 7.5),Surgicals,18,174,2026-06-23,522,Swiss Pharma
2024-10-10,Susp Ciprofloxacin 500mg,Drops/Topicals,8,171,2027-12-24,487,Swiss Pharma
2025-05-01,Oin Propofol 100mg,Specialty/Emergency,5,158,2027-07-22,435,Swiss Pharma
2023-07-23,Susp Diclofenac 20mg,Analgesics,49,181,2027-09-22,576,Fidson
2023-06-10,Inf Diazepam 5ml/125mg,Specialty/Emergency,26,124,2027-01-09,426,MegaCare
2024-04-10,Cap Normal Saline 250mg,IV Fluids,38,150,2028-12-22,189,Emzor
2025-01-30,Ear Drops Paracetamol 5mg,Analgesics,27,105,2028-01-26,520,Swiss Pharma
2024-11-21,Cap Magnesium Trisilicate 500mg,Anti-Ulcer,26,177,2028-03-24,863,Emzor
2024-03-29,Inf Chloramphenicol 5mg,Drops/Topicals,26,197,2026-04-17,903,Fidson
2025-07-05,Inf Insulin (Soluble) 100mg,Anti-Diabetic,26,102,2028-12-27,511,Juhel
2025-07-02,Surgical Gloves (2ml),Surgicals,34,139,2026-07-30,976,Fidson
2026-01-19,Tab Hydralazine 1g,Anti-Hypertensive,3,168,2028-06-25,830,Juhel
2025-06-09,Syrup Sulfadoxine/Pyrimethamine 1%,Anti-Malaria,29,144,2026-11-04,105,Swiss Pharma
2023-08-30,Inj Morphine 500mg,Analgesics,49,122,2028-06-02,802,Emzor
2023-12-01,Inj Gentamicin 250mg,Drops/Topicals,10,117,2028-09-02,442,Juhel
2025-12-23,Cap Hydrocortisone 5ml/250mg,Drops/Topicals,18,114,2028-06-12,218,Emzor
2026-01-23,Syrup Dextrose Saline 5ml/250mg,IV Fluids,27,169,2027-03-20,543,Fidson
2023-04-23,Face Mask (Size 7.5),Surgicals,3,177,2027-10-23,846,Emzor
2025-10-25,Inj Chloramphenicol 20mg,Drops/Topicals,42,150,2027-08-30,130,Fidson
2023-04-29,Gutt Dextrose Saline 5ml/125mg,IV Fluids,49,113,2027-03-29,688,Fidson
2025-04-27,Giving Set (2ml),Surgicals,40,101,2026-10-26,531,Emzor
2025-09-15,Inh Artesunate 20mg,Anti-Malaria,27,30,2027-09-03,777,GSK
2024-03-01,Susp Lisinopril 500mg,Anti-Hypertensive,7,196,2026-08-02,866,Swiss Pharma
2025-08-21,Inf Metformin 50mg,Anti-Diabetic,8,129,2026-05-19,880,Emzor
2025-01-14,Inh Magnesium Trisilicate 2g,Anti-Ulcer,50,102,2027-11-29,653,Fidson
2024-12-01,Tab Insulin (Soluble) 20mg,Anti-Diabetic,26,191,2028-06-21,540,Swiss Pharma
2023-03-30,Inh Magnesium Trisilicate 1g,Anti-Ulcer,36,151,2028-02-04,104,Swiss Pharma
2025-07-12,Cap Cimetidine 5ml/250mg,Anti-Ulcer,17,103,2027-06-26,679,Emzor
2024-12-28,Gutt Diazepam 10mg,Specialty/Emergency,48,24,2027-06-27,751,Fidson
2024-07-17,IV Cannula (5ml),Surgicals,13,182,2026-09-11,951,Swiss Pharma
2025-03-28,Hepatitis B Strip (10ml),Lab/Reagents,4,126,2028-08-04,751,Juhel
2024-10-24,Syrup Losartan 5mg,Anti-Hypertensive,10,114,2027-06-16,737,MegaCare
2023-01-30,Syrup Ketamine 5ml/250mg,Specialty/Emergency,44,200,2027-11-07,707,Fidson
2024-08-17,Syrup Propofol 250mg,Specialty/Emergency,34,21,2028-09-05,933,Fidson
2025-09-10,Susp Ciprofloxacin 5mg,Antibiotics,7,108,2028-07-02,746,Emzor
2024-07-16,Cap Dextrose 5% 2g,IV Fluids,23,179,2027-09-21,636,MegaCare
2025-04-27,Oin Paracetamol 1%,Analgesics,50,143,2026-06-26,636,Fidson
2024-10-18,Ear Drops Atropine 10mg,Specialty/Emergency,15,149,2028-10-18,584,GSK
2024-12-02,Gutt Diclofenac 5ml/125mg,Analgesics,44,192,2028-01-20,667,MegaCare
2024-10-30,Gutt Glibenclamide 0.5%,Anti-Diabetic,31,175,2027-04-26,405,Juhel
2023-12-01,Face Mask (10ml),Surgicals,28,176,2027-12-09,548,Swiss Pharma
2025-12-14,Susp Ketamine 20mg,Specialty/Emergency,7,167,2028-04-28,799,MegaCare
2024-10-13,Inh Insulin (Soluble) 1%,Anti-Diabetic,17,152,2028-12-11,705,Juhel
2025-02-11,Inj Methyldopa 5ml/250mg,Anti-Hypertensive,19,151,2027-04-27,326,MegaCare
2025-11-26,HIV Kit (5ml),Lab/Reagents,18,144,2028-05-15,997,GSK
2023-07-10,Gutt Adrenaline 250mg,Specialty/Emergency,42,35,2028-12-05,350,MegaCare
2026-02-27,Gutt Dextrose Saline 5ml/250mg,IV Fluids,8,137,2027-04-10,947,Emzor
2023-09-06,Inj Ringers Lactate 250mg,IV Fluids,50,145,2026-05-24,195,Fidson
2025-07-16,Gutt Dextrose 5% 5mg,IV Fluids,34,187,2028-09-18,741,Fidson
2025-02-11,Inf Tramadol 2g,Analgesics,42,185,2025-05-14,796,Juhel
2025-06-07,Inj Pentazocine 10mg,Analgesics,18,162,2028-02-05,205,GSK
2023-04-20,Gutt Morphine 20mg,Analgesics,41,118,2028-03-17,257,Fidson
2025-02-04,Ear Drops Adrenaline 20mg,Specialty/Emergency,23,192,2026-10-26,942,Swiss Pharma
2023-03-26,Cap Omeprazole 250mg,Anti-Ulcer,38,49,2027-04-07,249,Emzor
2025-06-13,Inf Sulfadoxine/Pyrimethamine 50mg,Anti-Malaria,20,168,2026-08-30,967,Emzor
2025-12-13,Cap Amoxicillin 5ml/125mg,Antibiotics,13,130,2027-08-11,194,Fidson
2025-08-20,Gutt Morphine 1g,Analgesics,20,127,2027-04-09,580,Emzor
2026-02-23,Inf Glibenclamide 250mg,Anti-Diabetic,45,188,2027-09-25,319,GSK
2025-06-27,Cap Sulfadoxine/Pyrimethamine 5mg,Anti-Malaria,32,177,2028-08-17,901,Emzor
2025-12-21,Gutt Morphine 500mg,Analgesics,9,187,2027-02-17,426,MegaCare
2025-03-02,Malaria RDT (5ml),Lab/Reagents,10,130,2029-01-02,439,Emzor
2025-04-20,Inj Oxytocin 5mg,Specialty/Emergency,46,158,2027-05-27,680,GSK
2023-04-05,Malaria RDT (Roll),Lab/Reagents,46,160,2028-09-12,594,MegaCare
2024-11-23,IV Cannula (Pack of 50),Surgicals,27,145,2027-04-15,790,GSK
2025-12-28,Cap Hydrocortisone 500mg,Drops/Topicals,42,104,2028-07-28,900,Emzor
2023-05-17,Susp Azithromycin 50mg,Antibiotics,18,169,2026-10-24,417,Fidson
2025-06-05,Inf Azithromycin 5mg,Antibiotics,47,105,2028-04-02,558,MegaCare
2023-12-11,Susp Dextrose 5% 5ml/125mg,IV Fluids,25,143,2028-02-27,112,MegaCare
2023-12-14,Inf Ranitidine 10mg,Anti-Ulcer,17,149,2028-05-08,612,Swiss Pharma
2023-05-10,Oin Atropine 10mg,Specialty/Emergency,16,152,2027-08-23,608,Juhel
2025-04-27,Inj Metformin 5mg,Anti-Diabetic,22,153,2028-05-27,247,Swiss Pharma
2024-01-01,Inj Ranitidine 5mg,Anti-Ulcer,50,128,2027-07-03,550,Juhel
2025-11-06,Tab Esomeprazole 0.5%,Anti-Ulcer,9,193,2026-05-21,775,MegaCare
2023-11-07,Syrup Pentazocine 250mg,Analgesics,45,114,2028-09-02,630,MegaCare
2026-03-27,Tab Insulin (Soluble) 5ml/250mg,Anti-Diabetic,40,129,2027-06-22,771,MegaCare
2024-03-22,Inh Gentamicin 500mg,Drops/Topicals,45,138,2027-04-14,975,Swiss Pharma
2023-11-22,Susp Amlodipine 5ml/125mg,Anti-Hypertensive,25,196,2027-07-30,554,Juhel
2025-09-16,Syrup Glimepiride 100mg,Anti-Diabetic,20,145,2027-10-05,260,MegaCare
2025-04-05,Cap Oxytocin 5mg,Specialty/Emergency,13,101,2027-12-19,933,GSK
2023-02-08,Cap Normal Saline 100mg,IV Fluids,13,123,2028-02-26,831,Fidson
2024-04-06,Gutt Oxytocin 20mg,Specialty/Emergency,28,139,2028-04-01,823,Fidson
2024-12-12,Gutt Gentamicin 5mg,Drops/Topicals,26,199,2025-10-04,151,Swiss Pharma
2023-02-16,Oin Ranitidine 1g,Anti-Ulcer,18,36,2027-09-14,902,Fidson
2025-10-01,Susp Sulfadoxine/Pyrimethamine 0.5%,Anti-Malaria,42,180,2028-08-27,641,Fidson
2023-01-24,Ear Drops Ranitidine 1g,Anti-Ulcer,42,186,2026-10-31,101,GSK
2023-04-27,Oin Quinine 500mg,Anti-Malaria,30,128,2027-07-23,898,GSK
2023-01-11,Inf Glimepiride 2g,Anti-Diabetic,42,192,2025-09-15,382,GSK
2023-11-26,Inj Diazepam 0.5%,Specialty/Emergency,20,160,2027-12-29,228,GSK
2024-05-25,Inh Ibuprofen 1%,Analgesics,17,119,2027-06-30,490,Juhel
2024-04-30,Cap Nifedipine 500mg,Anti-Hypertensive,36,114,2028-06-03,414,GSK
2024-02-15,Cap Artesunate 2g,Anti-Malaria,23,154,2028-06-14,805,MegaCare
2025-07-12,Inj Metronidazole 250mg,Antibiotics,8,143,2027-07-15,869,GSK
2024-08-01,Ear Drops Dextrose Saline 50mg,IV Fluids,11,177,2027-02-23,651,Juhel
2026-02-08,Ear Drops Losartan 10mg,Anti-Hypertensive,24,137,2027-06-11,866,MegaCare
2024-04-21,Cap Diclofenac 50mg,Analgesics,8,196,2027-11-29,873,Emzor
2025-03-29,Tab Metformin 5ml/250mg,Anti-Diabetic,33,172,2027-09-12,903,Juhel
2024-09-15,Inf Chloramphenicol 0.5%,Drops/Topicals,27,194,2028-08-14,416,Swiss Pharma
2023-05-07,Gutt Hydrocortisone 250mg,Drops/Topicals,12,44,2027-04-17,571,Emzor
2026-02-19,Inh Normal Saline 100mg,IV Fluids,18,120,2027-06-16,234,Emzor
2024-02-09,Susp Ketamine 5ml/250mg,Specialty/Emergency,34,123,2028-05-20,231,Fidson
